               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10966,            0.043572,            0.052747,            0.007577,             0.00625,           0.0017105,          0.00035194,            0.073554,            0.024378,            0.036127,             0.00033,             0.00033,             0.09703
                   1,            0.089214,            0.045903,             0.04886,           0.0095687,            0.034763,           0.0059113,            0.001116,            0.065379,            0.022696,            0.034781,          0.00066779,          0.00066779,            0.093968
                   2,            0.080031,            0.043611,            0.044895,            0.054373,            0.051195,            0.027913,           0.0085567,            0.052175,            0.023489,             0.03346,           0.0010033,           0.0010033,            0.090903
                   3,            0.068266,            0.047446,            0.044109,             0.10943,             0.31232,             0.12521,            0.054166,            0.044638,            0.022478,            0.030812,           0.0013366,           0.0013366,            0.087837
                   4,            0.062214,            0.044366,            0.040969,             0.24179,             0.35118,             0.18623,            0.081404,            0.039012,             0.01948,            0.029015,           0.0016677,           0.0016677,            0.084768
                   5,            0.055799,            0.041426,            0.038907,             0.22014,             0.49096,             0.22383,             0.10345,            0.038095,            0.016573,            0.028071,           0.0019965,           0.0019965,            0.081697
                   6,            0.052468,             0.03713,            0.037192,             0.21542,             0.49068,             0.24722,            0.078661,            0.037273,            0.014897,             0.02535,           0.0023231,           0.0023231,            0.078623
                   7,            0.051494,            0.034487,            0.033103,             0.24032,              0.5827,             0.34574,             0.15964,            0.034571,            0.014042,            0.023536,           0.0026474,           0.0026474,            0.075547
                   8,            0.049241,            0.030646,            0.032562,             0.28738,             0.47093,             0.34408,             0.16406,             0.03783,            0.012177,            0.021946,           0.0029695,           0.0029695,            0.072469
                   9,            0.049462,            0.029561,            0.028135,             0.38518,             0.42149,             0.40797,             0.23294,            0.033681,            0.011444,            0.020078,           0.0032893,           0.0032893,            0.069389
                  10,            0.048279,            0.028623,            0.026618,             0.44736,             0.54388,               0.489,              0.2699,            0.032107,            0.010768,            0.018444,           0.0036069,           0.0036069,            0.066307
                  11,            0.047675,            0.028562,            0.022886,             0.40986,             0.56979,             0.49626,             0.22717,            0.030169,            0.010772,            0.018036,           0.0039223,           0.0039223,            0.063222
                  12,            0.045917,            0.029243,            0.020757,             0.60603,             0.56052,             0.59733,             0.27629,            0.029913,            0.010314,            0.014993,           0.0042354,           0.0042354,            0.060135
                  13,            0.047867,            0.026632,            0.019977,             0.66579,             0.49198,             0.55838,             0.28239,            0.031468,            0.010676,            0.013776,           0.0045462,           0.0045462,            0.057046
                  14,            0.045624,            0.026928,            0.017416,             0.67517,             0.53862,             0.59683,             0.27884,            0.033505,            0.010241,            0.013789,           0.0048548,           0.0048548,            0.053955
                  15,            0.048954,             0.02742,            0.015349,             0.48295,             0.46334,             0.40614,             0.15423,            0.038071,            0.011126,            0.018225,           0.0051612,           0.0051612,            0.050861
                  16,             0.05067,            0.026835,            0.015446,              0.5183,             0.63787,             0.58515,             0.30114,            0.033653,            0.010068,            0.012048,           0.0054653,           0.0054653,            0.047765
                  17,            0.045523,             0.02349,            0.015739,             0.56293,             0.57636,             0.59972,             0.33697,            0.034159,            0.011053,            0.013314,           0.0057672,           0.0057672,            0.044667
                  18,            0.047462,            0.025231,            0.015012,             0.58792,             0.75541,             0.71028,             0.38344,            0.030884,            0.010219,            0.010288,           0.0060669,           0.0060669,            0.041567
                  19,            0.046483,             0.02487,            0.013559,             0.60063,             0.63854,             0.66371,             0.41306,            0.030393,            0.010352,            0.010989,           0.0063643,           0.0063643,            0.038464
                  20,            0.043566,            0.024974,            0.012092,             0.60921,             0.74393,             0.73476,             0.42232,            0.028304,           0.0095912,           0.0084662,           0.0066594,           0.0066594,            0.035359
                  21,            0.042597,            0.024757,            0.011074,             0.66651,             0.63664,             0.74387,              0.4453,            0.029236,           0.0093296,            0.010586,           0.0069523,           0.0069523,            0.032252
                  22,            0.041691,            0.024353,            0.010387,             0.76008,             0.75933,             0.83686,             0.42556,            0.029419,           0.0093891,           0.0064191,            0.007243,            0.007243,            0.029143
                  23,            0.042056,            0.025346,            0.010534,             0.65632,             0.79579,             0.75309,             0.45373,            0.026899,           0.0099303,           0.0076827,           0.0075314,           0.0075314,            0.026031
                  24,            0.044319,            0.024101,            0.010529,             0.79909,             0.73939,             0.81296,             0.41046,            0.030395,           0.0098939,             0.01095,           0.0078176,           0.0078176,            0.022918
                  25,            0.041715,            0.023455,            0.010558,             0.79373,             0.61498,             0.74286,             0.44343,            0.029167,            0.010426,            0.010572,           0.0081015,           0.0081015,            0.019802
                  26,            0.040953,            0.025759,            0.010326,             0.79971,              0.6621,             0.76584,             0.43193,            0.027622,             0.01055,           0.0093925,           0.0083832,           0.0083832,            0.016683
                  27,            0.040022,            0.025566,           0.0099669,             0.58105,             0.67596,             0.64299,             0.40775,            0.032163,            0.011719,            0.028283,           0.0086627,           0.0086627,            0.013563
                  28,             0.03929,            0.026023,            0.010251,             0.68116,             0.62166,              0.7088,             0.43648,              0.0272,            0.010538,            0.010147,           0.0089399,           0.0089399,             0.01044
                  29,            0.038507,             0.02559,            0.011771,              0.7235,             0.60698,             0.72385,             0.46026,            0.028047,            0.010841,           0.0092916,            0.009043,            0.009043,            0.009043
                  30,            0.039144,              0.0272,            0.010574,             0.61523,             0.61269,              0.6478,             0.36428,             0.02842,             0.01093,            0.011055,            0.009043,            0.009043,            0.009043
                  31,            0.037844,            0.025181,            0.010098,             0.72559,             0.55757,             0.68197,             0.41564,            0.025047,            0.010807,            0.012458,             0.00901,             0.00901,             0.00901
                  32,            0.036775,            0.025539,           0.0090079,             0.64945,             0.72413,             0.73957,             0.47021,             0.02716,            0.010372,           0.0090385,            0.008977,            0.008977,            0.008977
                  33,            0.035591,            0.026264,           0.0087951,              0.7605,             0.74278,             0.77545,             0.44029,             0.03021,            0.012084,           0.0074025,            0.008944,            0.008944,            0.008944
                  34,            0.036008,            0.025037,           0.0092562,             0.70476,             0.72568,             0.74852,              0.4013,             0.02712,            0.011083,            0.014489,            0.008911,            0.008911,            0.008911
                  35,            0.034764,            0.024956,           0.0091521,             0.73553,             0.63982,             0.74605,             0.46346,            0.025113,            0.010087,            0.011675,            0.008878,            0.008878,            0.008878
                  36,             0.03446,            0.025065,           0.0093826,             0.67784,             0.69177,             0.74337,             0.48078,            0.023039,            0.010155,            0.014578,            0.008845,            0.008845,            0.008845
                  37,            0.032051,            0.024168,           0.0075131,             0.73412,             0.72175,             0.80104,              0.5263,            0.023739,           0.0097071,           0.0094627,            0.008812,            0.008812,            0.008812
                  38,            0.033863,            0.024636,           0.0072663,             0.80976,             0.74137,             0.80612,             0.51398,            0.025807,            0.010881,           0.0084667,            0.008779,            0.008779,            0.008779
                  39,             0.03334,            0.023529,           0.0068284,             0.90252,              0.6907,             0.85946,             0.57828,            0.022812,            0.009815,           0.0057822,            0.008746,            0.008746,            0.008746
