               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10709,            0.042253,            0.050378,            0.027571,            0.018256,           0.0057602,           0.0016381,            0.070982,            0.025006,            0.036489,             0.00033,             0.00033,             0.09703
                   1,            0.090805,            0.047567,            0.046496,            0.031966,             0.14727,            0.026074,           0.0064433,            0.058759,            0.022518,            0.034247,          0.00066779,          0.00066779,            0.093968
                   2,            0.078244,            0.044131,            0.042992,             0.14831,             0.27522,             0.11433,             0.03501,            0.049565,            0.020708,            0.030328,           0.0010033,           0.0010033,            0.090903
                   3,            0.065457,            0.040385,            0.038861,             0.14675,             0.45786,              0.1838,            0.067021,            0.042175,            0.019529,            0.027283,           0.0013366,           0.0013366,            0.087837
                   4,            0.057995,            0.038402,            0.037425,             0.22465,             0.36911,             0.20651,            0.069548,            0.040268,            0.016324,            0.024364,           0.0016677,           0.0016677,            0.084768
                   5,            0.055973,            0.034067,            0.033398,             0.34883,             0.35932,             0.28754,             0.13865,            0.037035,            0.013383,            0.021977,           0.0019965,           0.0019965,            0.081697
                   6,            0.053496,            0.033042,            0.032708,             0.29746,              0.5139,             0.32109,             0.15543,            0.041712,            0.012338,            0.020096,           0.0023231,           0.0023231,            0.078623
                   7,            0.052105,            0.032489,            0.029991,             0.42017,             0.46993,             0.42744,             0.18839,            0.034215,            0.011744,            0.019802,           0.0026474,           0.0026474,            0.075547
                   8,            0.051605,            0.029877,            0.026528,             0.32842,             0.53207,             0.40783,             0.17035,             0.03521,            0.011477,            0.018104,           0.0029695,           0.0029695,            0.072469
                   9,            0.050524,            0.029861,            0.023284,             0.37652,             0.60229,             0.45009,             0.20622,             0.03414,            0.011538,            0.016549,           0.0032893,           0.0032893,            0.069389
                  10,            0.048879,            0.028644,             0.02195,             0.44602,              0.6146,             0.51492,             0.24632,            0.030766,            0.010954,            0.015901,           0.0036069,           0.0036069,            0.066307
                  11,            0.049518,            0.027568,            0.020778,             0.47243,             0.64786,             0.57765,             0.31201,            0.029051,            0.010207,            0.013973,           0.0039223,           0.0039223,            0.063222
                  12,            0.046685,             0.02785,            0.018824,             0.43644,             0.67022,             0.57509,             0.30243,            0.029704,            0.010044,            0.016348,           0.0042354,           0.0042354,            0.060135
                  13,            0.046882,            0.026737,            0.015627,             0.41466,             0.68945,             0.56694,             0.27257,            0.034197,             0.01069,             0.01877,           0.0045462,           0.0045462,            0.057046
                  14,            0.046766,            0.026397,            0.015423,             0.46936,             0.68184,             0.62779,             0.34755,            0.034864,           0.0092431,            0.012166,           0.0048548,           0.0048548,            0.053955
                  15,            0.048859,              0.0247,            0.015511,             0.60109,             0.62146,             0.65453,             0.37715,            0.031399,           0.0091773,            0.010626,           0.0051612,           0.0051612,            0.050861
                  16,            0.048281,            0.026566,            0.016166,             0.64809,             0.65664,             0.69035,             0.33943,            0.030887,           0.0096169,            0.011371,           0.0054653,           0.0054653,            0.047765
